"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"838","일반게임제공업","03_05_06_P","3300000","CDFF2241132014000002","20140415","","03","폐업","03","폐업","20170126","","","","","","","부산광역시 동래구 안락동 423-6번지 423-9, 423-25","부산광역시 동래구 충렬대로 지하 355, 1층 (안락동)","47786","LA 게임랜드","20170126140542","I","2018-08-31 23:59:59.0","","390990.795288175","190821.13732605","일반게임제공업","유통관련업","4","","몰디브(40대), 월드스토리2.0(50대)","195.9","3","1","","","","","","","","","","","","","","","","","90","","청소년이용불가","","","","",
"839","일반게임제공업","03_05_06_P","3300000","CDFF2241132014000004","20140919","","03","폐업","03","폐업","20191127","","","","","","","부산광역시 동래구 온천동 1248-4번지","부산광역시 동래구 아시아드대로 239-1, 지하1층 (온천동)","47851","성진게임랜드","20191127143111","U","2019-11-29 02:40:00.0","","388189.034202454","191546.670279537","일반게임제공업","유통관련업","11","","엑스칼리브","180.4","10","1","판매시설","","","","","","","","","","","","","","","","85","","청소년이용불가","","","","일반상업지역",
"840","일반게임제공업","03_05_06_P","3300000","CDFF2241132014000005","20141017","","03","폐업","03","폐업","20141218","","","","","","","부산광역시 동래구 수안동 469-5번지","부산광역시 동래구 명륜로112번길 30 (수안동)","607824","친구 게임랜드","20141218165713","I","2018-08-31 23:59:59.0","","389758.102096294","191327.374032135","일반게임제공업","유통관련업","3","","심해포커, 스팅 플러스, 갤럭씨 포커, 대항해시즌 1, 사하라 포커","158.68","2","","판매시설","","","","","","","","","","","","","","","","","","청소년이용불가","","","","일반상업지역",
"841","일반게임제공업","03_05_06_P","3300000","CDFF2241132016000002","20160526","","03","폐업","03","폐업","20200522","","","","","","","부산광역시 동래구 안락동 436-1번지","부산광역시 동래구 충렬대로 378, 2층 (안락동)","47889","대현게임랜드","20200522161602","U","2020-05-24 02:40:00.0","","391147.632713426","190687.908669878","일반게임제공업","유통관련업","","","싸이렌20대,하제포커20대,보물선10대,쓰리포커10대","164","","","","","","","","","","","","","","","","","","","60","","청소년이용불가","","","","",
"842","일반게임제공업","03_05_06_P","3300000","CDFF2241132016000003","20160627","","03","폐업","03","폐업","20160809","","","","","","","부산광역시 동래구 온천동 220-1번지","부산광역시 동래구 금강로124번길 3, 3층 (온천동)","47709","OK게임랜드","20160810113313","I","2018-08-31 23:59:59.0","","389351.508588509","193161.178859625","일반게임제공업","유통관련업","","","엠티(20대),매직캐슬(20대),판타지아포커(30대)","184.9","","","","","","","","","","","","","","","","","","","","","청소년이용불가","","","","",
"843","일반게임제공업","03_05_06_P","3300000","CDFF2241132016000004","20160711","","03","폐업","03","폐업","20170612","","","","","","","부산광역시 동래구 온천동 1412-6번지","부산광역시 동래구 아시아드대로208번가길 31 (온천동)","47838","달봉이 게임랜드","20170718150556","I","2018-08-31 23:59:59.0","","388207.222895464","191349.318599031","일반게임제공업","유통관련업","","","제천대성 포커(20), 타잔비긴즈(20), 대항해1ST(20), 스카이홀스포커(20)","185.99","","","","","","","","","","","","","","","","","","","","","청소년이용불가","","","","",
"844","일반게임제공업","03_05_06_P","3300000","CDFF2241132016000005","20161006","","03","폐업","03","폐업","20170310","","","","","","","부산광역시 동래구 안락동 425-9번지","부산광역시 동래구 반송로 224, 2층 (안락동)","47786","스타 게임랜드","20170310155656","I","2018-08-31 23:59:59.0","","391026.647678554","191055.698823457","일반게임제공업","유통관련업","","","뉴미스터 손(20대), 씨야 포커(20대), 타잔 비긴즈(30대)","120.93","","","","","","","","","","","","","","","","","","","","","청소년이용불가","","","","",
"845","일반게임제공업","03_05_06_P","3300000","CDFF2241132017000002","20170630","","03","폐업","03","폐업","20180702","","","","","","","부산광역시 동래구 사직동 92-6번지","부산광역시 동래구 사직북로 5, 2층 (사직동)","47865","대왕게임랜드","20180702101948","I","2018-08-31 23:59:59.0","","387602.495576711","190509.543699088","일반게임제공업","유통관련업","","","태풍(20), 워터하우스포커(20),신의 폭풍(20),돌풍(20),용천(20),대왕거북이(20)","233.58","","","","","","","","","","","","","","","","","","","","","청소년이용불가","","","","",
"846","일반게임제공업","03_05_06_P","3300000","CDFF2241132017000003","20170721","","03","폐업","03","폐업","20180130","","","","","","","부산광역시 동래구 온천동 1249-14","부산광역시 동래구 아시아드대로 227, 2층 (온천동)","47851","스카이 게임랜드","20201104171607","U","2020-11-06 02:40:00.0","","388151.03391719","191415.151044458","일반게임제공업","유통관련업","","","고인돌포커2(20대),용신전(20대),영웅문3rd의천도(20대)","225.19","","","","","","","","","","","","","","","","","","","60","","청소년이용불가","","","","",
"847","일반게임제공업","03_05_06_P","3300000","CDFF2241132017000004","20170901","","03","폐업","03","폐업","20170918","","","","","","","부산광역시 동래구 안락동 425-9번지","부산광역시 동래구 반송로 224, 2층 (안락동)","47786","해피 게임랜드","20170925132447","I","2018-08-31 23:59:59.0","","391026.647678554","191055.698823457","일반게임제공업","유통관련업","","","천지연(20대), 조이1투신(30대), 모델포커(20대)","120.93","","","","","","","","","","","","","","","","","","","","","청소년이용불가","","","","",
